pid,volume,image_number,head,entry,topic,first_letter,page,add,xref,see,index,item,unparsed,line,selection,full_image,annotation_uri,insertion,thumbnail,label,location,issue,also_in_entry
num_0001,Volume 2,68,,1,Familiarity,1-25,,,4712 [PAGE_MISSING],,<a href='/digital-beehive/index2/index_1394/'>familiarity</a>,#item-be089df28,,Entry: 1|Topic: Familiarity|Xref: 4712 [PAGE_MISSING]|Index: familiarity|#item-be089df28,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0535/809,304,2965,598/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0535/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1570214158969,,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0535/809,304,600,180/250,/0/default.jpg",1. Familiarity,<a href='/digital-beehive/toc/toc2_058/'>Full Page</a>,,
num_0002,Volume 2,68,,2,Laconism,1-25,,,<a href='/digital-beehive/alpha1/alpha_0098/'>Brevity</a>|<a href='/digital-beehive/toc/toc2_227/'>1169 [Laconism]</a>,,<a href='/digital-beehive/index2/index_1436/'>few words</a>|<a href='/digital-beehive/index3/index_2183/'>Lacedemonians & Laconism</a>|<a href='/digital-beehive/index3/index_2307/'>little talk</a>,#item-eb4bf567f,,Entry: 2|Topic: Laconism|Xref: Brevity|Xref: 1169 [Laconism]|Index: few words|Index: Lacedemonians & Laconism|Index: little talk|#item-eb4bf567f,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0535/824,774,2946,448/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0535/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1570219754313,,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0535/824,774,600,180/250,/0/default.jpg",2. Laconism,<a href='/digital-beehive/toc/toc2_058/'>Full Page</a>,,
num_0003,Volume 2,68,,3,Threatnings,1-25,,,<a href='/digital-beehive/alpha1/alpha_0089/'>Boasting</a>|<a href='/digital-beehive/toc/toc2_306/'>1557 [Threatning]</a>,,<a href='/digital-beehive/index5/index_4131/'>threatning</a>,#item-f95004121,,Entry: 3|Topic: Threatnings|Xref: Boasting|Xref: 1557 [Threatning]|Index: threatning|#item-f95004121,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0535/773,1115,2986,537/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0535/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1572632526894,,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0535/773,1115,600,180/250,/0/default.jpg",3. Threatnings,<a href='/digital-beehive/toc/toc2_058/'>Full Page</a>,,
num_0004,Volume 2,68,,4,After Sowre comes the Sweet,1-25,,,<a href='/digital-beehive/toc/toc2_404/'>2301 [After Sowre comes Sweet]</a>,,<a href='/digital-beehive/index1/index_0067/'>after sowre sweet</a>|<a href='/digital-beehive/index3/index_2112/'>joy after sorrow</a>,#item-cac6efc0f,,Entry: 4|Topic: After Sowre comes the Sweet|Xref: 2301 [After Sowre comes Sweet]|Index: after sowre sweet|Index: joy after sorrow|#item-cac6efc0f,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0535/811,1542,2950,517/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0535/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1570221149930,,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0535/811,1542,600,180/250,/0/default.jpg",4. After Sowre comes the Sweet,<a href='/digital-beehive/toc/toc2_058/'>Full Page</a>,,
num_0005,Volume 2,68,,5,Wrong,1-25,,,<a href='/digital-beehive/alpha3/alpha_0476/'>Injustice</a>|<a href='/digital-beehive/toc/toc2_217/'>1116 [Injury]</a>,,<a href='/digital-beehive/index5/index_4635/'>wrong</a>,#item-9fe1a8e9d,,Entry: 5|Topic: Wrong|Xref: Injustice|Xref: 1116 [Injury]|Index: wrong|#item-9fe1a8e9d,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0535/812,1976,2947,554/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0535/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1570221326318,,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0535/812,1976,600,180/250,/0/default.jpg",5. Wrong,<a href='/digital-beehive/toc/toc2_058/'>Full Page</a>,,
num_0006,Volume 2,68,,6,Unjust Substance,1-25,,,<a href='/digital-beehive/num2/num_0374/'>326 [Ill gotten goods & gains]</a>,,<a href='/digital-beehive/index3/index_1952/'>ill gotten</a>|<a href='/digital-beehive/index5/index_4397/'>unjust goods</a>,#item-1d7898476,,Entry: 6|Topic: Unjust Substance|Xref: 326 [Ill gotten goods & gains]|Index: ill gotten|Index: unjust goods|#item-1d7898476,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0535/808,2461,2956,417/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0535/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1570221371844,,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0535/808,2461,600,180/250,/0/default.jpg",6. Unjust Substance,<a href='/digital-beehive/toc/toc2_058/'>Full Page</a>,,
num_0007,Volume 2,68,,7,Husband & Wife,1-25,,,<a href='/digital-beehive/alpha1/alpha_0100/'>Bride & Bridegroom</a>|<a href='/digital-beehive/toc/toc2_281/'>1440 [Husband & Wife]</a>,,<a href='/digital-beehive/index2/index_1910/'>husband & wife</a>|<a href='/digital-beehive/index5/index_4728/'>duty of husband and</a>,#item-7beaf4484,,Entry: 7|Topic: Husband & Wife|Xref: Bride & Bridegroom|Xref: 1440 [Husband & Wife]|Index: husband & wife|Index: duty of husband and|#item-7beaf4484,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0535/840,2823,2931,520/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0535/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1570221970450,,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0535/840,2823,600,180/250,/0/default.jpg",7. Husband & Wife,<a href='/digital-beehive/toc/toc2_058/'>Full Page</a>,,
num_0008,Volume 2,68,,8,Desperation,1-25,,,<a href='/digital-beehive/alpha1/alpha_0246/'>distrust</a>|<a href='/digital-beehive/num3/num_0832'>620 [Despair]</a>,,<a href='/digital-beehive/index1/index_1026/'>desperation</a>,#item-b4225f8ff,,Entry: 8|Topic: Desperation|Xref: distrust|Xref: 620 [Despair]|Index: desperation|#item-b4225f8ff,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0535/846,3226,2922,471/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0535/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1572029456917,,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0535/846,3226,600,180/250,/0/default.jpg",8. Desperation,<a href='/digital-beehive/toc/toc2_058/'>Full Page</a>,,
num_0009,Volume 2,68,,9,Education,1-25,,,<a href='/digital-beehive/alpha1/alpha_0238/'>Discipline</a>|<a href='/digital-beehive/num2/num_0314/'>280 [Education]</a>,,<a href='/digital-beehive/index2/index_1207/'>education</a>,#item-f76fdeded,,Entry: 9|Topic: Education|Xref: Discipline|Xref: 280 [Education]|Index: education|#item-f76fdeded,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0535/822,3592,2927,563/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0535/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1572029882128,,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0535/822,3592,600,180/250,/0/default.jpg",9. Education,<a href='/digital-beehive/toc/toc2_058/'>Full Page</a>,,
num_0010,Volume 2,68,,10,After high floods (: come :) low ebbs,1-25,,,,,<a href='/digital-beehive/index1/index_0068/'>after sweet sowre</a>,#item-4dcc5c9bd,,Entry: 10|Topic: After high floods (: come :) low ebbs|Index: after sweet sowre|#item-4dcc5c9bd,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0535/806,4050,2940,396/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0535/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1572030106170,,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0535/806,4050,600,180/250,/0/default.jpg",10. After high floods (: come :) low ebbs,<a href='/digital-beehive/toc/toc2_058/'>Full Page</a>,,
