pid,volume,image_number,head,entry,topic,first_letter,page,add,xref,see,index,item,unparsed,line,selection,full_image,annotation_uri,insertion,thumbnail,label,location,issue,also_in_entry
alpha_0652,Volume 2,36,,Oats,Oats,O,,,,,<a href='/digital-beehive/index4/index_2780/'>oats</a>,#item-3a7c1240f,,Entry: Oats|Topic: Oats|Index: oats|#item-3a7c1240f,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0503/749,3852,3008,396/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0503/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1565015731146,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0503/749,3852,600,180/250,/0/default.jpg",Oats,<a href='/digital-beehive/toc/toc2_026/'>Full Page</a>,,
alpha_0653,Volume 2,36,,Oath,Oath,O,,,<a href='/digital-beehive/num1/num_0092/'>90 [Swearing]</a>|<a href='/digital-beehive/num1/num_0028/'>28 [Oath]</a>,,<a href='/digital-beehive/index4/index_2776/'>oath</a>,#item-8a41c29da,,Entry: Oath|Topic: Oath|Xref:  90 [Swearing]|Xref: 28 [Oath]|Index: oath|#item-8a41c29da,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0503/778,4074,2945,435/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0503/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1565015943020,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0503/778,4074,600,180/250,/0/default.jpg",Oath,<a href='/digital-beehive/toc/toc2_026/'>Full Page</a>,,
alpha_0654,Volume 2,36,,Obedience,Obedience,O,,,<a href='/digital-beehive/alpha1/alpha_0246/'>disobed</a>|<a href='/digital-beehive/alpha4/alpha_0682/'>Parents</a>|<a href='/digital-beehive/num4/num_1314/'>985 [Obedience]</a>,,<a href='/digital-beehive/index4/index_2783/'>obedience</a>,#item-7dfdfd864,,Entry: Obedience|Topic: Obedience|Xref: disobed|Xref: Parents|Xref: 985 [Obedience]|Index: obedience|#item-7dfdfd864,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0503/702,4416,3063,630/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0503/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1565016107334,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0503/702,4416,600,180/250,/0/default.jpg",Obedience,<a href='/digital-beehive/toc/toc2_026/'>Full Page</a>,,
alpha_0655,Volume 2,37,,Obligation,Obligation,O,,,<a href='/digital-beehive/toc/toc2_273/'>1396 [Obliga[ti]on]</a>,,<a href='/digital-beehive/index4/index_2789/'>obligation</a>,#item-3f76e6e63,,Entry: Obligation|Topic: Obligation|Xref: 1396 [Obliga[ti]on]|Index: obligation|#item-3f76e6e63,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0504/276,228,3031,454/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0504/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1565016225765,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0504/276,228,600,180/250,/0/default.jpg",Obligation,<a href='/digital-beehive/toc/toc2_027/'>Full Page</a>,,
alpha_0656,Volume 2,37,,Obscurity,Obscurity,O,,,<a href='/digital-beehive/num1/num_0117/'>113 [Plainness]</a>|<a href='/digital-beehive/toc/toc2_252/'>1292 [Obscurity]</a>,,<a href='/digital-beehive/index4/index_2797/'>obscurity</a>,#item-02122876c,,Entry: Obscurity|Topic: Obscurity|Xref: 113 [Plainness]|Xref: 1292 [Obscurity]|Index: obscurity|#item-02122876c,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0504/260,520,3078,389/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0504/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1565016331903,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0504/260,520,600,180/250,/0/default.jpg",Obscurity,<a href='/digital-beehive/toc/toc2_027/'>Full Page</a>,,
alpha_0657,Volume 2,37,,Obstinacy,Obstinacy,O,,,<a href='/digital-beehive/alpha2/alpha_0398/'>hardning</a>|<a href='/digital-beehive/alpha4/alpha_0860/'>Selfwilledness</a>|<a href='/digital-beehive/alpha4/alpha_0925/'>Stubbornness</a>|743 [PAGE_MISSING],,<a href='/digital-beehive/index4/index_2809/'>obstinacy</a>,#item-54e99134f,,Entry: Obstinacy|Topic: Obstinacy|Xref: hardning|Xref: Selfwilledness |Xref: Stubbornness |Xref: 743 [PAGE_MISSING]|Index: obstinacy|#item-54e99134f,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0504/296,819,3061,369/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0504/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1565016432059,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0504/296,819,600,180/250,/0/default.jpg",Obstinacy,<a href='/digital-beehive/toc/toc2_027/'>Full Page</a>,,
alpha_0658,Volume 2,37,,Occasion,Occasion,O,,,<a href='/digital-beehive/alpha5/alpha_1015/'>Untimely</a>|<a href='/digital-beehive/alpha5/alpha_0961/'>Time</a>|<a href='/digital-beehive/num3/num_1026/'>706 [Occasion]</a>,,<a href='/digital-beehive/index4/index_2817/'>occasion</a>,#item-2e7db2854,,Entry: Occasion|Topic: Occasion|Xref: Untimely|Xref: Time|Xref: 706 [Occasion]|Index: occasion|#item-2e7db2854,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0504/280,1098,3091,397/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0504/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1565016545296,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0504/280,1098,600,180/250,/0/default.jpg",Occasion,<a href='/digital-beehive/toc/toc2_027/'>Full Page</a>,,
alpha_0659,Volume 2,37,,Oeconomy,Oeconomy,O,<a href='/digital-beehive/toc/toc2_191/'>p.379 [Image 2.202]</a>,,<a href='/digital-beehive/alpha2/alpha_0443/'>Husbandry</a>,,<a href='/digital-beehive/index4/index_2824/'>oeconomy</a>,#item-e72af992e,,Entry: Oeconomy|Topic: Oeconomy|Xref: Husbandry|Page: p.379 [Image 2.202]|Index: oeconomy|#item-e72af992e,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0504/290,1423,3095,401/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0504/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1565016740122,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0504/290,1423,600,180/250,/0/default.jpg",Oeconomy,<a href='/digital-beehive/toc/toc2_027/'>Full Page</a>,There is currently no protocol for cross-references to page numbers in the Alphabetical Hive.,
alpha_0660,Volume 2,37,,Office,Office,O,,,<a href='/digital-beehive/alpha1/alpha_0116/'>Calling</a>|845 [PAGE_MISSING],,<a href='/digital-beehive/index4/index_2754/'>office</a>,#item-f055f382a,,Entry: Office|Topic: Office|Xref: Calling|Xref: 845 [PAGE_MISSING]|Index: office|#item-f055f382a,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0504/334,1718,3064,412/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0504/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1565017011742,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0504/334,1718,600,180/250,/0/default.jpg",Office,<a href='/digital-beehive/toc/toc2_027/'>Full Page</a>,,
alpha_0661,Volume 2,37,,Officer,Officer,O,,,<a href='/digital-beehive/toc/toc2_198/'>1021 [Officers]</a>,,<a href='/digital-beehive/index4/index_2757/'>officer</a>,#item-f0fcc51f2,,Entry: Officer|Topic: Officer|Xref: 1021 [Officers]|Index: officer|#item-f0fcc51f2,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0504/299,2037,3076,396/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0504/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1565017079670,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0504/299,2037,600,180/250,/0/default.jpg",Officer,<a href='/digital-beehive/toc/toc2_027/'>Full Page</a>,,
